334681,7.0,5
172890,5.9,5
55761,3.0,3
147264,7.0,2
237139,0.0,0
43584,7.4,16
52538,5.1,27
150049,7.4,13
109472,0.0,0
186982,5.7,18
204768,5.2,15
199916,6.9,4
323695,4.5,1
291634,0.0,0
460135,10.0,2
52913,7.2,3
367492,8.0,1
126043,0.0,0
42436,4.5,95
329227,1.0,1
48935,3.4,5
402193,5.7,12
139272,6.9,10
196918,5.0,1
332543,6.0,2
280422,6.0,4
38875,5.8,4
203071,6.0,1
68827,5.5,3
281085,6.0,2
14210,4.5,6
155852,7.5,2
302118,5.0,1
72589,5.9,6
159069,0.0,0
192143,4.5,4
365709,4.0,1
343042,0.0,0
211105,4.8,4
53999,6.1,10
425002,0.0,0
60769,0.0,0
134806,0.0,0
113258,6.8,7
31061,5.5,14
198474,5.8,4
410921,0.0,0
53342,4.7,5
62363,6.9,13
189334,6.0,1
89904,5.3,6
18375,1.7,3
270393,7.0,5
328069,6.5,4
167673,4.8,6
16566,6.3,6
304755,4.5,2
171738,0.0,0
299585,7.3,2
140783,5.0,1
448847,6.1,14
103745,6.0,3
380438,0.0,0
41756,6.0,1
117618,4.1,11
143344,6.3,2
138167,6.0,5
267355,8.0,1
76793,6.7,5
73827,6.8,9
206260,6.1,19
21555,5.7,5
375794,7.4,48
118154,4.3,5
99368,6.0,1
219166,0.0,0
76809,0.0,0
193065,0.0,0
268662,0.0,0
228039,6.0,1
280218,6.8,6
333164,0.0,0
214600,0.0,0
422472,0.0,0
92737,7.0,1
108365,0.0,0
306207,6.0,2
288201,0.0,0
268413,6.0,8
205349,3.0,1
166259,7.0,2
394185,5.3,3
362579,8.6,8
217925,6.0,1
62900,4.5,2
317120,3.3,2
374319,6.0,1
297835,0.0,0
15033,4.4,4
86063,6.3,13
358243,2.0,2
24574,4.3,3
82377,5.1,7
200063,7.4,7
107035,5.2,5
171826,5.8,11
343858,3.0,1
148314,5.5,2
50531,7.5,273
402543,7.0,15
296543,5.0,1
48016,5.0,6
292947,8.0,2
377847,5.4,5
141640,4.8,5
267048,6.0,1
403667,6.3,4
118513,6.7,6
252983,0.0,0
24862,4.7,7
69319,8.3,4
388907,1.0,2
42675,5.4,39
197552,2.5,2
104485,0.0,0
57382,4.5,35
197057,4.5,3
354832,0.0,0
77118,7.0,1
81780,5.0,1
71918,6.3,4
197537,4.5,2
49360,6.8,3
218772,0.0,0
271009,0.0,0
153561,6.0,1
142118,5.4,4
195768,0.0,0
407036,4.0,4
61719,5.0,2
41075,5.0,1
360626,7.7,11
74183,6.0,2
55335,2.5,1
38274,6.0,2
258947,4.9,13
155426,9.0,2
92586,0.0,0
151727,5.0,3
268712,7.0,4
198469,6.7,3
143883,9.0,5
160844,5.3,3
44255,6.0,1
315882,8.0,3
388586,0.0,0
278822,5.9,7
279698,0.0,0
50213,6.8,13
377196,0.0,0
41645,3.6,4
85708,0.0,0
183383,8.5,2
57770,5.0,3
353125,7.5,4
145872,5.5,2
119820,5.7,5
260857,0.0,0
25114,6.7,15
105884,8.5,4
279784,0.0,0
157178,7.8,2
143567,6.7,55
320169,6.0,2
328692,5.8,4
104172,8.3,2
254439,5.7,37
405325,7.5,2
243473,0.0,0
204607,3.8,4
110040,6.3,4
387700,6.5,2
57438,6.5,2
284785,0.0,0
68023,6.6,10
60014,5.4,7
82100,5.0,3
373397,0.0,0
33130,7.0,1
35731,6.3,8
159186,0.0,0
264036,6.3,6
239368,7.0,1
41689,6.5,2
289523,5.0,6
75179,6.3,3
156045,7.2,3
66536,5.3,4
145194,1.5,2
65887,7.0,2
69120,7.0,1
68987,6.0,2
384254,0.0,0
369605,6.0,1
156908,8.0,1
204128,6.0,2
290672,0.0,0
378087,5.3,25
117905,4.0,2
337456,0.0,0
158068,8.8,2
48962,6.9,11
55769,7.0,1
67899,5.3,12
246320,5.0,110
276387,3.0,1
150578,7.5,2
206328,4.8,4
436882,4.3,4
160960,5.0,1
359413,7.8,5
294608,0.0,0
233805,7.0,4
60079,3.8,4
67177,0.0,0
149362,8.0,1
273707,5.0,1
313653,8.0,1
64504,5.6,12
77845,0.0,0
311215,6.1,8
105529,6.0,2
283281,0.0,0
61330,5.8,3
80374,6.6,7
26599,0.0,0
74919,8.2,7
362100,10.0,1
25510,5.1,9
324264,6.7,6
37429,7.5,2
13739,5.9,23
96496,5.0,1
46383,4.8,4
41093,7.5,2
76112,8.0,1
