directorId,directorName,movieId
1076268,Jukka Kärkkäinen,122492
88820,Jean Rollin,29128
147021,S.S. Rajamouli,40909
41632,Giuseppe Rosati,197177
93087,David Gebroe,25060
69759,Apichatpong Weerasethakul,93553
8688,Diego Luna,230779
84335,Joe Lynch,277355
220691,Laura Poitras,293310
209972,Robert Stone,159152
52842,Garth Jennings,7453
3776,Jean-Luc Godard,44461
29433,Lucio Fulci,63025
10601,Joseph L. Mankiewicz,86778
1032,Martin Scorsese,524
259027,Osvaldo Civirani,259835
92317,Spike Brandt,287233
56742,Bruno Corbucci,62725
584035,Noël Burch,105554
19457,Mark Robson,35580
86152,Karen Oganesyan,20449
21227,Sergio Martino,30903
82796,Nikita Mikhalkov,38837
1179824,Alexis Gambis,199647
1963,Danièle Thompson,48216
65678,John Lafia,53870
1498167,Clay Staub,355193
571191,Oddvar Einarson,91041
38692,Paul Hoen,360605
3776,Jean-Luc Godard,31522
252806,Christopher Ashley,17447
1143378,Edouard Deluc,161073
5696,Bruce Beresford,77223
1088719,Aleksandr Tatarskiy,129229
1017581,Víctor Laplace,222759
1351760,Cheng Yin,286120
54734,Evan Goldberg,109414
80577,Tomek Baginski,15990
1884,Steven Soderbergh,161
82194,Neill Blomkamp,463800
19377,Erick Zonca,309929
579303,Tom Kuntz,14771
56411,Glenn Ficarra,50646
23213,Harold Becker,30069
1040405,Thomas S. Alderman,106402
64151,Mike Mitchell,10402
85551,Giovanni Veronesi,20069
1293989,Matthew Freund,254251
14773,Don Siegel,28023
83784,Jan Švankmajer,18917
945167,Jacobo Rispa,58587
1046585,Roger Gnoan M'Bala,78248
13284,Stanley Donen,37627
544134,Sylvia Soska,193726
1305412,Zeek Earl,261899
225009,Pablo Larraín,56815
448930,Shane O'Sullivan,76043
565681,Makoto Tezuka,47331
16589,Peter MacDonald,3513
8500,John Ford,18539
1428158,Xavier Seron,393079
31074,Kinji Fukasaku,74289
1073817,Ilppo Pohjola,59908
107148,Michael Tucker,30856
1170415,Lawrence Blume,188984
151162,Agustí Villaronga,46767
56789,Thomas Bezucha,59860
991868,Ari Sandel,272693
51910,David Green,24782
78845,Arthur Lubin,44902
78562,Phil Traill,23706
70103,Fumihiko Sori,103173
19450,Bob Rafelson,2017
122740,Sergiu Nicolaescu,224084
71797,Alex Gibney,57211
39009,Joseph Losey,58925
39743,Henry Levin,137826
226403,Pete McGrain,57510
19499,Kevin Munroe,1273
5970,Pier Paolo Pasolini,48848
30365,Michael Caton-Jones,13536
33821,Jorge Grau,25627
88809,Hrishikesh Mukherjee,84693
85203,Damian Lee,218329
238824,Jeff Schechter,213496
131465,Bowie Lau,44781
15461,Jiska Rickels,1114
1083210,Pier Ludovico Pavoni,59873
2226,Sydney Pollack,32068
8574,Walter Salles,299751
64883,Kang Je-gyu,94047
7395,Bobby Farrelly,11543
106093,Phil Grabsky,41617
52968,Russell Mulcahy,13486
6011,Michael Haneke,86837
1061773,Jake Szymanski,86705
587509,Oleg Pogodin,29299
130938,Sergei Bodrov,12246
150259,Osman Sınav,139272
550227,Orhan Aksoy,53206
543495,Paul Schneider,113958
32375,Mario Monicelli,82114
1537976,Michael Medaglia,341051
4786,Richard Attenborough,26949
88976,Carl Pierson,23286
933695,Helena Taberna,153561
89745,Jean Yarbrough,184328
928915,David Gelb,333350
57665,Eric Karson,40468
48309,Paul Breuls,6163
18161,Simon Verhoeven,75969
1385799,Matteo Zoppis,378480
90367,Sam Liu,379291
13861,Frank Pierson,32526
142630,Aatish Kapadia,53283
1066310,Paul Tarnopol,288154
127542,Bob Misiorowski,17774
96948,James Bolton,40925
1556959,Sam Wrench,387054
12804,Peter Yates,29185
115677,Coky Giedroyc,188521
52609,Breck Eisner,150004
55119,Alejandro Jodorowsky,86942
21227,Sergio Martino,58080
39022,Anthony Page,4706
40615,Jerzy Kawalerowicz,59219
16412,William Conrad,187482
1135820,Dominic Howes,154793
50719,Rodman Flender,41301
109342,Jacques Feyder,32543
19161,Sandrine Bonnaire,33297
54469,Michael Almereyda,77780
63589,Debbie Isitt,139380
71947,Gina Prince-Bythewood,12837
78029,Martin Lawrence,28121
577385,Seung-wook Byeon,75931
70602,Jörg Buttgereit,15736
88077,Alex Zamm,50332
18927,Ralf Westhoff,1736
14606,Albert Dupontel,334317
8635,Buster Keaton,32600
6593,John Huston,11536
33064,Henry Koster,43327
1120003,Alekos Sakellarios,379508
40230,Kevin Hooks,279692
25826,Mario Bava,5482
231866,Emilis Velyvis,437830
1004922,Drew Daywalt,174611
105343,Renato Polselli,40345
82255,Peter Israelson,52741
40391,Richard A. Colla,201703
57290,Pino Van Lamsweerde,9318
954780,Paul Saltzman,128121
1543405,Ali Scher,370765
88594,Robby Grewal,46409
135678,Jan Hřebejk,74199
16294,Jonathan Demme,13440
96323,Marcel Sarmiento,23966
96801,Hiroshi Teshigahara,56599
74863,Lauren Montgomery,65291
1255,David Mamet,11169
1288796,Gerard Johnstone,253306
14520,John Sturges,193547
769,Martin Brest,8046
74878,Tay Garnett,25736
53395,David Tedeschi,274906
56405,Frédéric Beigbeder,384727
2042,Stephen Hopkins,71461
20658,Naomi Kawase,255948
3224,Stephen Frears,12664
76936,Yojiro Takita,21325
16294,Jonathan Demme,85325
1304672,Kıvanç Baruönü,332788
88792,Måns Herngren,20995
229002,Jeff Renfroe,178809
36187,Bob Gosse,53092
2765,Nicholas Ray,47555
230469,Cheik Doukouré,160372
11887,Brad Silberling,11774
88567,Henrik Moltke,22285
1082091,Martin Rejtman,126104
56151,Peter Winther,14207
25236,Johnnie To,104259
119784,Gilbert Cates,92283
20907,Antoine Fuqua,156022
85758,Edward Sampson,20174
94045,Bill Corcoran,24617
56960,Hossein Amini,192149
110834,John Murlowski,75547
58689,Neil LaBute,9708
137495,Shūji Terayama,104251
1503143,Carlos Kaimakamian Carrau,357155
224644,Alex Stapleton,56591
58021,Tinto Brass,50124
37932,F. Gary Gray,9400
1650,François Truffaut,1719
9789,Robert Altman,91781
1085918,Soon-Mi Yoo,286697
16294,Jonathan Demme,14976
3974,Miloš Forman,48599
628,Isao Takahata,21036
125796,Rauni Mollberg,41205
9264,Sergio Mimica-Gezzan,283691
56405,Frédéric Beigbeder,85735
31962,Gregg C. Tallas,49352
16862,Claude Lelouch,38198
3288,Chris Weitz,2105
100336,Paolo Cavara,63112
70235,Marco Tullio Giordana,57425
592438,César Rodrigues,227932
225332,John Lands,56997
1084736,Stephen T. Maing,127451
10620,Ulli Lommel,40220
113855,Xavier Giannoli,31325
63481,Brian Brough,78362
452840,Paul Sommers,24787
224452,Gianfranco Rosi,171061
87130,Mark A.Z. Dippé,16460
93397,Anders Jacobsson,52044
19798,Randa Haines,158939
37526,Fernando Trueba,35411
81210,Stephan Apelgren,55612
932906,Jean-Marc Turine,86096
12011,William Castle,29398
31497,John Cromwell,184824
10774,Anne Bancroft,38922
66086,Mary Agnes Donoghue,68430
30942,William A. Levey,112058
18897,Jackie Chan,21519
6295,Catherine Breillat,570
21399,Ron Silver,19553
227452,Keith Scholey,57586
110343,Brett Simon,18176
61821,Robert S. Baker,95029
72952,Grant Harvey,12583
1183912,Mira Fornay,158947
7671,Jeb Stuart,41894
34264,Marco Ferreri,69014
19708,Albert Band,28605
143559,J.A. Howe,16661
26713,Chuck Russell,9334
1081448,Véréna Paravel,81524
146605,James D. Deck,23200
6011,Michael Haneke,32761
4600,Joe Dante,45046
56210,Pablo Trapero,352161
1106877,Levan Bakhia,137145
938625,Hajrudin Krvavac,90617
117049,Bob Sweeney,151937
80602,Tyler Perry,239562
21370,Roger Donaldson,9912
555094,Akiyuki Shinbo,20089
1364881,Patrick Osborne,393263
61244,Robert Vince,9973
138006,Frederick Wiseman,114426
