7869, 149870
8528, 84084
4823, 12166
7156, 29920
4881, 355598
4881, 8983
5148, 2969
4986, 160660
4823, 315057
8586, 36686
4823, 26486
4986, 256687
4986, 60243
4986, 91261
9814, 15906
4986, 31273
4986, 163202
4986, 42222
4881, 4790
8586, 31646
4986, 63938
3263, 20803
4823, 378483
3817, 81870
4823, 1879
2635, 33115
4881, 286538
3836, 93498
8528, 45988
4986, 281783
4881, 149868
4823, 142064
4986, 128614
7156, 20055
4823, 339362
4986, 330697
4986, 15012
3817, 13807
4986, 162643
4881, 40113
4823, 74057
3817, 15239
4986, 22200
2635, 131940
7156, 25510
8586, 217787
9814, 64868
5912, 133255
351, 3432
3263, 27179
4986, 48833
5388, 70133
4823, 382518
4881, 26124
4823, 56083
7869, 278604
4986, 140825
2635, 33586
4823, 75604
2635, 226448
5148, 77931
3836, 20595
3836, 203226
9814, 74694
4986, 132641
4986, 77287
2635, 55257
4881, 47260
4823, 21589
4823, 39253
5388, 8814
4986, 201010
7553, 266741
7156, 25707
4881, 15422
8528, 28988
351, 62722
4823, 381041
8528, 10139
4881, 100274
4986, 95866
8528, 95012
4823, 80296
7553, 43257
5388, 17610
3817, 41980
3817, 16958
3263, 10138
3817, 22832
4823, 193959
4986, 76804
6025, 10110
5148, 50936
4823, 32444
5388, 32643
8586, 48871
4986, 81217
4881, 41472
4986, 19620
4823, 12479
4986, 332168
3836, 272075
4986, 33310
4881, 6973
4986, 218212
3817, 106021
4881, 33708
5388, 324978
3263, 65104
4986, 26701
5148, 104285
4986, 25297
2635, 339397
4881, 251544
2867, 59238
4986, 43973
4881, 53426
9814, 79212
4986, 10705
5148, 104697
4986, 72899
5148, 47761
7869, 14233
4986, 14677
4881, 15912
3817, 44133
4823, 11293
7553, 34453
4881, 12645
4986, 245017
7553, 39704
4986, 108564
7156, 42279
351, 34595
5912, 53651
8586, 40059
2635, 61988
4986, 144982
3817, 56832
2635, 43727
4986, 9840
4823, 43868
4986, 18503
9814, 41066
2635, 981
3263, 27306
4986, 3576
5912, 23286
4986, 352157
3817, 145963
3263, 1894
4986, 82485
3836, 320179
4823, 75452
4881, 63590
2635, 12818
5148, 21290
4823, 17097
3263, 12224
4823, 9098
8528, 200119
4823, 52449
4986, 74549
4986, 4112
3836, 14297
4881, 71456
2635, 54040
5148, 45000
9814, 9981
4986, 83105
2635, 57103
2635, 61434
4986, 100910
2635, 56188
4986, 21250
4986, 32924
9814, 12232
8528, 11085
4881, 417056
351, 108432
2635, 4584
7553, 18682
4881, 78146
8586, 359255
4823, 129139
8586, 12662
5148, 87506
4823, 51955
9814, 263109
3836, 25630
4986, 102242
4986, 329981
4986, 43864
5388, 76757
7156, 44321
4823, 22620
2635, 49971
4823, 45052
4881, 22784
4986, 25264
3817, 107643
4986, 26387
5912, 102488
3836, 139325
9814, 9023
7156, 47211
4986, 18590
2635, 27030
7156, 4931
8586, 93939
5388, 30656
2635, 322548
4629, 13311
3836, 418787
351, 270668
7156, 103432
4881, 32978
4986, 20993
351, 8898
6025, 127668
4986, 147415
4823, 32316
4986, 158068
4986, 89455
5388, 8358
4986, 25468
7156, 10751
5388, 245703
4986, 271397
4823, 57866
4629, 101056
9814, 14612
2635, 71204
7156, 43410
4986, 61475
3263, 44546
6025, 10105
3817, 300983
3836, 250577
3817, 80410
6025, 94696
4986, 64403
4881, 14048
3836, 191060
4823, 84066
4823, 10516
4881, 187
8528, 1874
3836, 67840
4986, 38363
3817, 21236
4986, 307087
5148, 344591
4823, 43362
2635, 44626
9814, 17711
4823, 32622
2635, 43689
3263, 9397
8586, 192023
4986, 361183
4823, 32082
4823, 116190
4986, 36288
4823, 33345
8528, 37345
2635, 117618
4986, 11354
4881, 72767
5148, 48871
4986, 16987
3263, 37656
4823, 250
3817, 46910
4823, 49697
4986, 15071
8586, 40387
4986, 48204
4881, 80662
4986, 136582
3817, 265314
4823, 10118
4986, 13198
4986, 54284
4986, 16550
4986, 93511
9814, 51052
351, 506
4823, 48145
5388, 28510
4986, 321751
4823, 430
351, 121606
4629, 57425
7156, 286545
8586, 245589
3817, 14075
4881, 57816
4986, 2176
8528, 26351
4823, 39776
4986, 12497
4881, 22423
4986, 297393
351, 47401
4823, 52936
4881, 424782
2635, 41961
7869, 9948
4986, 133373
4629, 77825
4823, 325138
4629, 8886
3263, 25361
4986, 2637
7156, 14931
7553, 48561
5388, 46812
8586, 7091
8586, 347763
3263, 40537
2635, 20457
4823, 12186
4986, 343921
351, 367147
4986, 30244
4823, 10433
3817, 19322
3263, 142528
4881, 229594
4881, 292280
4823, 295699
4986, 11889
9814, 44978
4823, 17949
4986, 26277
4986, 264978
4986, 26479
4986, 26162
4986, 273807
3817, 8010
4986, 101968
4986, 15080
2867, 367538
2635, 69483
4823, 113321
4823, 12416
2635, 15598
4881, 17133
2635, 381418
4881, 20015
4986, 232175
5388, 17591
7156, 76438
3836, 169853
4823, 61016
4823, 366759
4629, 73066
4823, 214146
9814, 35927
5912, 43828
8586, 79550
4986, 51991
8586, 78075
4823, 11308
3817, 39088
8528, 14756
4629, 98193
4986, 61048
4986, 33391
4881, 456101
4986, 30018
4881, 2072
4823, 60650
3817, 18976
4881, 44678
4986, 276908
5388, 42706
2635, 9602
4823, 35395
3817, 6520
5148, 32558
4629, 8211
4986, 122268
4823, 278316
4986, 86520
3836, 42047
4881, 289510
3817, 107327
4881, 11647
4986, 12187
4823, 38702
3817, 2095
351, 63025
8586, 29095
4881, 43117
4881, 42740
3817, 34179
6025, 17685
7156, 6341
3263, 27786
9814, 265712
4986, 253312
4986, 66043
4986, 10876
4881, 36290
7156, 11074
4823, 39282
7869, 67661
9814, 16248
4986, 80054
2635, 130398
4881, 12261
4986, 336735
7869, 51531
4881, 7305
3817, 126464
4823, 20071
4823, 49971
4986, 1644
4881, 43626
2867, 26131
8586, 354534
4823, 329243
4823, 6691
4986, 29264
4986, 73686
4823, 36283
3817, 85414
2635, 105885
4986, 245698
3817, 21776
7156, 12597
4823, 4104
4986, 58391
3817, 18589
7553, 103688
8528, 24971
8586, 42729
4986, 152795
3817, 418072
4823, 49940
7156, 60971
4986, 41018
3836, 30140
7156, 198146
4986, 42032
4986, 648
4823, 73901
4986, 37175
5148, 41077
4823, 2640
7156, 242906
3817, 22434
8586, 112525
4629, 55012
4986, 36907
4986, 4588
4986, 34870
4881, 29794
5148, 32887
4986, 38575
4881, 963
4986, 297956
4881, 364615
3836, 64831
3263, 68591
5148, 14642
2635, 776
7156, 11323
4986, 223566
3817, 320433
3817, 416445
351, 121822
4986, 41381
3836, 105583
5388, 75552
3817, 17205
5388, 1672
2635, 229005
